device_id,paper_id,technology_family,detector_class,material_family,material_composition,device_architecture,device_stack,active_area_cm2,ligand_exchange_status,ligand_exchange_type,ligand_exchange_chemicals,native_ligands,ligand_exchange_target,ligand_exchange_conditions,ligand_exchange_source_location,device_notes
xu-2022-pbs-si-edt-device,xu-2022-pbs-si-heterojunction,cqd,photodiode,PbS,PbS-I CQD ink absorber with a PbS-EDT buffer layer on methyl-terminated p-Si,Vertical PbS CQD/p-Si heterojunction photodiode,Al / methyl-terminated p-Si / PbS-EDT (20 nm) / PbS-I CQD ink / ZnO nanoparticles / ITO (120 nm),,reported,mixed,"lead(II) iodide (PbI2)|lead(II) bromide (PbBr2)|ammonium acetate|1,2-ethanedithiol (EDT)",oleic acid (OA),PbS CQD ink absorber|PbS-EDT buffer layer,"Solution-phase PbI2/PbBr2/ammonium-acetate exchange in DMF, followed by purification and redispersion at 200 mg/mL in 9:1 butylamine/DMF; two PbS-EDT layers used 0.01 vol% EDT in acetonitrile for 30 s per layer.","PDF p. 7, Preparation of CQD Inks and Device Fabrication",The D* device area is not explicitly established. Temporal tests used 0.20 cm2 and 0.03 cm2 devices.
tang-2020-hgte-mesh-f0p1-device,tang-2020-hgte-graphene-si,cqd,photodiode,HgTe,EDT/HCl-crosslinked HgTe CQDs with a Bi2Se3-n-doped graphene bottom contact and Ag2Te-doped p-type CQD top layer,Semitransparent mesh HgTe CQD/graphene infrared photodiode integrated above a graphene/p-Si visible Schottky junction,p-Si / graphene / Bi2Se3 nanocrystals / patterned HgTe CQDs (~400 nm) / Ag2Te-doped HgTe top layer / Au (~7.5 nm),,reported,solid_state,"1,2-ethanedithiol (EDT)|hydrochloric acid (HCl)",dodecanethiol (DDT)|trioctylphosphine (TOP),HgTe CQD film,HgTe CQDs were drop-cast and crosslinked with 2% EDT and 2% HCl in isopropanol; 5-8 deposition/exchange cycles produced an approximately 400 nm film.,"PDF p. 4, Device Fabrication",Filling factor f=0.1. The graphene/p-Si visible channel is not a separate CQD-absorber atlas device.
wang-2025-pbs-znte-device,wang-2025-pbs-znte,cqd,photodiode,PbS,PbS-halide CQD absorber with oxidized ZnTe hole-transport layer,top-illuminated n-on-p photodiode,glass / ITO / oxidized ZnTe (~80 nm) / PbS-halide CQDs (~320 nm) / C60 / SnO2 (~40 nm) / ITO,0.0414,reported,solution_phase,lead(II) iodide (PbI2) | lead(II) bromide (PbBr2),,PbS-halide CQD absorber,"Glovebox solution-phase exchange in DMF containing 0.266 M PbI2 and 0.052 M PbBr2; 10 mg mL^-1 QDs in n-octane mixed 1:1 by volume, transferred to DMF, washed twice with n-octane, centrifuged, vacuum-dried, and redispersed in n-butylamine/DMF.","Main article PDF p. 6, Experimental Section",Optimized ZnTe HTL was sputtered and mildly oxidized in air at 100 °C for 1 h. Figure 1 abbreviates the optimized device as ZnTe.
wang-2025-pbs-edt-control-device,wang-2025-pbs-znte,cqd,photodiode,PbS,PbS-halide CQD absorber with PbS-EDT hole-transport layer,top-illuminated n-on-p photodiode,glass / ITO / PbS-EDT (~40 nm) / PbS-halide CQDs (~320 nm) / C60 / SnO2 (~40 nm) / ITO,0.0414,reported,mixed,"lead(II) iodide (PbI2) | lead(II) bromide (PbBr2) | 1,2-ethanedithiol (EDT)",oleic acid (OA),PbS-halide absorber | PbS-EDT hole-transport layer,The absorber used the solution-phase PbI2/PbBr2 exchange described for the ZnTe device. The control HTL used solid-state exchange by spin-coating an OA-capped PbS QD film and applying EDT ligand solution; the EDT concentration and detailed rinse sequence were not available without the Supporting Information.,"Main article PDF pp. 2 and 6, Figure 1A and Experimental Section",PbS-EDT control photodiode used for the directly reported comparison detectivity.
wang-2025-ag2te-device,wang-2025-ag2te-lidar,cqd,photodiode,Ag2Te,Ag2Te CQDs with AgNO3 and EDT surface treatment,Vertical SWIR photodiode,ITO / SnO2 / Ag2Te-AgNO3 / Ag2Te-AgNO3+EDT / Au,,reported,solid_state,"1,2-ethanedithiol (EDT) | silver nitrate (AgNO3)",,,Automatically extracted reported parameters: 30 s; acetonitrile; spin coated.,PDF page 4 | PDF page 4,Champion-device area is not specified for the spectral detectivity measurement.
song-2024-ag-hgte-device,song-2024-ag-hgte,cqd,photodiode,HgTe,n-type EDT/HCl-treated HgTe CQDs with a 10.5 at.% Ag CTAB-treated p-type Ag-HgTe alloy CQD layer,Self-powered vertical p-n CQD photodiode,sapphire / ITO / HgTe CQDs / Ag-HgTe alloy CQDs / Au,0.0105,reported,solid_state,"1,2-ethanedithiol (EDT) | cetyltrimethylammonium bromide (CTAB) | hydrochloric acid (HCl)",,,Automatically extracted reported parameters: layer-by-layer; wash.,PDF page 5 | PDF page 2 | PDF page 5,Champion CTAB-treated device; approximately 440 nm HgTe and 45 nm Ag-HgTe CQD layers.
dang-2023-grid-device,dang-2023-multiresonant-grating,cqd,photodiode,HgTe,HgTe colloidal quantum dots,Vertical photovoltaic photodiode with a multiresonant 2D gold-grid electrode,sapphire / 2D Au grid / HgTe CQDs / Ag2Te / Au,1e-4,reported,other,mercury(II) chloride (HgCl2),,,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 4 | PDF page 2 | PDF page 2,Champion device; approximately 350 nm HgTe layer with 350 nm-wide gold stripes on a 1.8 µm square-lattice period.
vafaie-2021-pbs-device,vafaie-2021-pbs-fast,cqd,photodiode,PbS,Halide-passivated PbS CQDs with EDT-treated PbS hole-transport layer,Vertical SWIR photodiode,ITO / ZnO / halide-passivated PbS CQDs / EDT-treated PbS CQDs / Au,0.1,reported,solid_state,"1,2-ethanedithiol (EDT)",trioctylphosphine (TOP),,Automatically extracted reported parameters: layer-by-layer.,PDF page 10 | PDF page 10 | PDF page 7,Area reported for the 1550 nm detector.
paul-2025-ag2se-device,paul-2025-ag2se,cqd,photodiode,Ag2Se,SPLE-processed Ag2Se CQDs,Self-powered vertical photodiode,FTO / ZnO / Ag2Se CQDs / CuSCN / Ag,,reported,solution_phase,1-dodecanethiol (DDT),trioctylphosphine (TOP) | dodecanethiol (DDT),,Automatically extracted reported parameters: layer-by-layer.,PDF page 4 | PDF page 1 | PDF page 1,Active area is not specified in the main article.
molnas-2024-pbs-ase-device,molnas-2024-pbs-ase,cqd,photodiode,PbS,PbS CQDs coupled to amorphous selenium,Vertical hybrid photodiode,glass / ITO (75 nm) / electron-blocking layer (2 µm) / a-Se (15 µm) / PbS:I / PbS:3-MPA / CeO2:3-MPA / ITO (50 nm),0.32,reported,other,3-mercaptopropionic acid (MPA),oleic acid (OA) | trioctylphosphine (TOP),,Automatically extracted reported parameters: 45 sec; 10 sec; 10sec; 6H; 2000 rpm; 2500 rpm; 2500rpm; hexane; octane; methanol; spin coating.,PDF page 6 | PDF page 6 | PDF page 6,Detectivity is reported at an electric field of 10 V/µm.
